POS;STÜCK;DURCHM;LÄNGE;GEWICHT;
Plan:P5_15085-02_T_08_450_BW_U2_00;;;;;
Plan:P5_15085-02_T_08_451_BW_U2_00;;;;;
5;46;12;2,95;120,50;
6;14;12;2,35;29,22;
7;6;12;3,35;17,85;
8;8;14;2,00;19,36;
9;10;12;1,87;16,61;
10;56;12;1,27;63,15;
11;30;10;9,50;175,84;
12;74;10;5,00;228,29;
13;8;10;4,50;22,21;
14;34;10;2,75;57,69;
15;12;16;3,70;70,15;
16;8;16;2,50;31,60;
17;4;16;3,00;18,96;
18;42;10;1,70;44,05;
19;46;10;1,20;34,06;
20;20;10;2,54;31,34;
21;22;10;1,76;23,89;
22;46;10;1,77;50,24;
23;90;8;0,42;14,93;
24;40;10;3,40;83,91;
25;96;8;3,40;128,93;
26;96;10;4,65;275,43;
Plan:P5_15085-02_T_08_465_BW_U2_00;;;;;
1;20;12;11,45;203,35;
2;46;10;11,45;324,97;
3;14;10;3,70;31,96;
4;18;10;6,85;76,08;
5;20;14;4,75;114,95;
6;182;12;4,55;735,35;
7;12;12;2,70;28,77;
8;26;12;2,12;48,95;
9;28;12;1,70;42,27;
10;88;12;1,85;144,57;
11;41;12;1,85;67,35;
12;28;10;1,35;23,32;
13;15;12;1,32;17,58;
14;28;14;1,40;47,43;
15;18;14;2,00;43,56;
16;5;12;2,09;9,28;
17;55;8;0,47;10,21;
18;144;10;4,55;404,26;
19;4;25;6,65;102,41;
20;10;10;4,17;25,73;
21;4;10;0,88;2,17;
22;3;10;3,27;6,05;
23;103;10;1,77;112,49;
24;20;10;2,66;32,82;
25;53;10;1,80;58,86;
26;72;10;13,15;584,18;
27;32;10;3,30;65,16;
28;38;10;1,30;30,48;
29;4;16;3,40;21,49;
30;2;10;1,40;1,73;
31;10;12;4,00;35,52;
32;12;10;0,82;6,07;
33;6;10;1,30;4,81;
34;70;8;0,42;11,61;
35;4;16;2,50;15,80;
36;20;14;5,00;121,00;
37;4;20;3,80;37,54;
38;4;20;3,80;37,54;
Plan:P5_15085-02_T_08_466_BW_U2_00;;;;;
1;272;12;4,65;1123,14;
2;58;10;1,80;64,41;
3;17;10;2,16;22,66;
4;63;10;1,30;50,53;
5;34;10;4,15;87,06;
6;34;10;4,40;92,30;
7;132;10;11,40;928,46;
8;16;16;3,00;75,84;
9;6;12;1,26;6,71;
10;76;12;1,77;119,45;
11;6;12;3,77;20,09;
12;9;12;5,07;40,52;
13;12;14;2,40;34,85;
14;12;12;1,70;18,12;
15;12;12;1,35;14,39;
16;4;16;11,40;72,05;
17;55;8;0,42;9,12;
18;50;10;1,85;57,07;
19;4;10;1,35;3,33;
20;4;12;1,32;4,69;
21;78;12;1,82;126,06;
22;55;8;0,47;10,21;
23;12;12;1,95;20,78;
Plan:P5_15085-02_T_08_467_BW_U2_01;;;;;
1;50;14;4,90;296,45;
2;16;14;4,40;85,18;
3;12;14;5,80;84,22;
4;150;10;4,65;430,36;
5;8;16;3,50;44,24;
6;36;16;2,50;142,20;
7;34;10;2,40;50,35;
8;118;10;7,00;509,64;
9;30;12;7,00;186,48;
10;30;12;7,65;203,80;
11;10;12;4,10;36,41;
12;17;10;2,30;24,12;
13;93;10;1,80;103,29;
14;33;10;1,20;24,43;
15;22;10;2,20;29,86;
16;22;10;2,90;39,36;
17;92;10;1,77;100,47;
18;7;10;4,97;21,47;
19;7;8;1,00;2,77;
20;4;14;7,00;33,88;
21;19;10;1,24;14,54;
22;3;10;3,86;7,14;
23;2;10;4,80;5,92;
24;6;10;2,16;8,00;
25;6;10;2,24;8,29;
26;135;8;0,42;22,40;
27;70;12;4,70;292,15;
28;66;12;2,55;149,45;
29;18;12;5,20;83,12;
30;17;12;3,95;59,63;
31;13;12;2,00;23,09;
32;29;12;1,90;48,93;
33;30;12;2,50;66,60;
34;69;12;1,36;83,33;
35;15;12;3,20;42,62;
36;18;12;9,75;155,84;
37;66;12;1,97;115,46;
38;6;14;5,57;40,44;
39;4;10;1,00;2,47;
40;5;12;1,90;8,44;
41;72;10;5,55;246,55;
42;20;14;2,00;48,40;
43;15;12;1,37;18,25;
44;12;10;1,17;8,66;
45;12;8;4,85;22,99;
46;32;8;2,20;27,81;
47;4;14;2,20;10,65;
48;32;8;1,36;17,19;
49;14;8;2,60;14,38;
50;7;8;1,07;2,96;
51;4;10;2,85;7,03;
52;6;16;2,50;23,70;
53;4;20;3,00;29,64;
54;4;8;0,92;1,45;
Plan:P5_15085-02_T_08_468_BW_U2_01;;;;;
201;4;16;2,00;12,64;
202;164;12;0,80;116,51;
1;28;16;5,80;256,59;
2;22;14;4,85;129,11;
3;12;14;5,80;84,22;
4;6;14;2,00;14,52;
5;148;12;4,70;617,69;
6;94;12;5,50;459,10;
7;36;10;3,75;83,30;
8;38;12;11,20;377,93;
9;26;12;3,65;84,27;
10;74;10;7,00;319,61;
11;16;8;0,60;3,79;
12;28;12;4,87;121,09;
13;10;12;3,57;31,70;
14;130;12;1,97;227,42;
15;4;16;7,00;44,24;
16;4;16;3,50;22,12;
17;36;10;1,20;26,65;
18;18;10;2,96;32,87;
19;18;10;2,06;22,88;
20;64;10;2,20;86,87;
21;34;10;1,80;37,76;
22;6;12;2,25;11,99;
23;125;8;0,42;20,74;
24;114;10;3,45;242,67;
25;22;12;3,45;67,40;
Plan:P5_15085-02_T_08_469_BW_U2_00;;;;;
1;22;14;5,80;154,40;
2;28;12;4,65;115,62;
3;50;12;5,55;246,42;
4;10;12;3,35;29,75;
5;36;10;2,05;45,53;
6;36;10;3,50;77,74;
7;38;10;7,20;168,81;
8;4;16;2,50;15,80;
9;185;10;1,70;194,05;
10;36;10;2,00;44,42;
11;9;12;1,97;15,74;
12;12;12;1,37;14,60;
13;4;14;7,20;34,85;
14;8;14;2,00;19,36;
15;90;8;0,42;14,93;
16;6;14;4,80;34,85;
17;76;10;5,50;257,91;
18;4;10;2,50;6,17;
19;8;10;3,30;16,29;
20;6;10;1,17;4,33;
21;18;10;1,36;15,10;
22;60;10;1,75;64,79;
23;74;10;3,80;173,50;
24;79;10;4,10;199,85;
25;4;16;2,00;12,64;
26;18;10;1,20;13,33;
27;42;10;1,77;45,87;
28;84;10;4,55;235,82;
29;74;10;4,10;187,20;
Plan:P5_15085-02_T_08_470_BW_U2_01;;;;;
1;64;14;5,80;449,15;
2;4;14;4,80;23,23;
3;72;10;4,60;204,35;
4;258;10;5,50;875,52;
5;60;14;2,00;145,20;
6;84;10;3,40;176,22;
7;64;12;8,50;483,07;
8;42;10;9,50;246,18;
9;32;10;8,80;173,75;
10;74;10;5,90;269,38;
11;76;10;2,70;126,61;
12;84;10;2,00;103,66;
14;21;10;1,80;23,32;
15;42;10;1,77;45,87;
16;8;20;4,50;88,92;
17;4;25;8,00;123,20;
